Código,Denominacion,Ventas,Fecha,Año
658193,FENOFIBRATO KERN 160X30CAP EFG          ,8,2020-02-01,2020
658257,PARACETAMOL KERN 1GRX40 CO EFG          ,30,2020-03-01,2020
958413,DIAZEPAN PRODES  5 MG 30 COMP           ,17,2020-03-01,2020
658256,PARACETAMOL KERN 1GRX20 CO EFG          ,28,2020-03-01,2020
687626,PARACETAMOL KERN PHARMA 500 MG 20 C  EFG,12,2020-03-01,2020
673058,SULPIRIDA KERN PHARMA 50 MG 30 CAPS EFG ,9,2020-03-01,2020
958421,DIAZEPAN PRODES 10 MG 30 COMP           ,10,2020-03-01,2020
724972,METFORMINA KERN 1000 MG 50 C OMP EFG    ,9,2020-03-01,2020
857979,IBUPROFENO KERN 600X40 COM EFG          ,10,2020-03-01,2020
851402,DIAZEPAN PRODES  2.5 MG 40 COM          ,5,2020-03-01,2020
698137,HIDROCLOROTIAZINA KERN 25 MG 20 COMP    ,5,2020-03-01,2020
655905,PARACETAMOL KERN 650 MG 40 COMP EFG     ,8,2020-03-01,2020
981795,CORONUR 20 MG 80 COMP                   ,4,2020-03-01,2020
672658,PARACET KERN CODEINA 500/30X20COEFG     ,4,2020-03-01,2020
654073,EBASTINA KERN 20 MG 20 COMP             ,4,2020-03-01,2020
661558,PREDNISONA KERN  5X30 COMP EFG          ,4,2020-03-01,2020
815621,ACICLOVIR KERN  2 GR CREMA EFG          ,8,2020-03-01,2020
660572,FUROSEMIDA KERN 40X30 C EFG             ,13,2020-03-01,2020
724970,METFORMINA KERN 1000 MG 30 COMP EFG     ,7,2020-03-01,2020
688720,FOSFOMICINA KERN 3 GR 1 SOBRE EFG       ,4,2020-03-01,2020
862623,AMLODIPINO KERN  5X30 COMP EFG          ,7,2020-03-01,2020
656456,ACETILCIST KERN 600X20 COMP EFERV EFG   ,3,2020-03-01,2020
660265,LORAZEPAN KERN 1X50 COMP EFG            ,10,2020-03-01,2020
656412,IBUDOL 400 MG SUSPENSION 20 SOBRES 10 ML,10,2020-03-01,2020
677308,BROMAZEPAM KERN 1.5X30 CAP EFG          ,12,2020-03-01,2020
793604,LUMINAL 0.1 GR 50 COMP                  ,8,2020-03-01,2020
730769,BILASTINA KERN 20 MG 20 COMP EFG        ,13,2020-03-01,2020
652591,LAMOTRIGINA KERN 100X56 COMP DISP EFG   ,6,2020-03-01,2020
852079,TEPAZEPAN 30 CAPS                       ,8,2020-03-01,2020
688725,DIOSMINA KERN 500 MG 60 COMP            ,7,2020-03-01,2020
815639,ACICLOVIR KERN 15 GR CREMA EFG          ,6,2020-03-01,2020
704739,PREGABALINA KERN 50 MG 56 CAPS EFG      ,5,2020-03-01,2020
691478,ANTIN 3 MG 28 COMP KERN EFG             ,8,2020-03-01,2020
661560,PREDNISONA KERN 10X30 COMP              ,8,2020-03-01,2020
672067,PREDNISONA KERN 30X30 COM  EFG          ,5,2020-03-01,2020
815407,ACICLOVIR KERN 200X25 COMP EFG          ,10,2020-03-01,2020
663240,CAFINITRINA 20 COMP SUBLINGUA           ,11,2020-03-01,2020
729242,ATORVASTATINA KERN 10 MG 28 COMP REC EFG,9,2020-03-01,2020
724973,METFORMINA KERN 850 MG 50 COMP EFG      ,4,2020-03-01,2020
672765,IBUDOL ROLL-ON 50 MG/G GEL TOPICO APLICA,11,2020-03-01,2020
652590,LAMOTRIGINA KERN 50X56 COMP DISP EFG    ,7,2020-03-01,2020
702118,AZITROMICINA KERN 500X3 C EFG           ,7,2020-03-01,2020
694875,AMOXIC CLAV KERN 875/125 MG 30 COMP EFG ,8,2020-03-01,2020
653279,HALOPERIDOL PRODES GOTAS 30 ML          ,10,2020-03-01,2020
654072,EBASTINA KERN 10 MG 20 COMP             ,7,2020-03-01,2020
691454,ANTINELLE KERN 0.02/3 MG 28 COMP EFG    ,9,2020-03-01,2020
890897,IBUPROFENO KERN 100X200 ML EFG          ,14,2020-03-01,2020
680803,DICLOFENACO KERN PHARMA 1% GEL 60 G     ,11,2020-03-01,2020
700522,LANACORDIN PEDIATRICO 60 ML             ,5,2020-03-01,2020
663227,SOLINITRINA 30 GRAGEAS                  ,10,2020-03-01,2020
972489,DIGOXINA KERN 0.25 MG 50 COMP           ,6,2020-03-01,2020
946178,CICLOFALINA 800 MG 60 COMP              ,11,2020-03-01,2020
688722,FOSFOMICINA  KERN 3 GR 2 SOBRES EFG     ,14,2020-03-01,2020
687248,IBUPROFENO KERN 600 MG 20 SOBRES EFG    ,14,2020-03-01,2020
798116,IBUPROFENO KERN 400X30 COM EFG          ,12,2020-03-01,2020
696906,DOLOMEDIL 20 COMP                       ,8,2020-03-01,2020
660104,INDAPAMIDA RET KERN 1.5X30C EFG         ,8,2020-03-01,2020
696107,ACIDOS OMEGA 3 KERN 1000 MG 100 CAPS EFG,12,2020-03-01,2020
793265,LORATADINA KERN 10X20 COM EFG           ,7,2020-03-01,2020
699134,IBUPROFENO KERN 40 MG SUSP 150 ML EFG   ,10,2020-03-01,2020
669796,NOBRITOL 12.5 MG/5 MG 60 CAPS           ,5,2020-03-01,2020
654666,IBUPROFENO KERN 200X20 SOB EFG          ,11,2020-03-01,2020
669804,NOBRITOL FORTE 25/10 MG 60 CAPSULAS     ,8,2020-03-01,2020
661559,PREDNISONA KERN  5X60 COMP EFG          ,14,2020-03-01,2020
981803,CORONUR 40 MG 40 COMP                   ,10,2020-03-01,2020
736009,OMEPRAZOL KERN 40X28 CAPS EFG           ,8,2020-03-01,2020
660066,CETIRIZINA KERN 10X20 COMP EFG          ,8,2020-03-01,2020
664132,DEFLAZACORT KERN PHAR  6X20C EFG        ,5,2020-03-01,2020
728743,SITAGLIPTINA/METFORM KERN 50/850X56 COM ,12,2020-03-01,2020
815563,ACICLOVIR KERN 800X35 C DIS EFG         ,6,2020-03-01,2020
841007,SERTRALINA KERN 50X30 COMP EFG          ,9,2020-03-01,2020
720320,RINGO ANILLO VAGINAL EFG                ,6,2020-03-01,2020
682676,"CLOPERASTINA KERN 17,7 MG/5ML 200 ML EFG",8,2020-03-01,2020
700511,LUMINALETAS 15 MG 30 COMP               ,6,2020-03-01,2020
673766,SILDENAFILO KERN 100 MG 4 COMP EFG      ,10,2020-03-01,2020
654778,VITAMINA D3 KERN 2000UI/ML SOL ORAL10 ML,10,2020-03-01,2020
660173,PARACETAMOL KERN 60ML GOTAS EFG         ,6,2020-03-01,2020
672534,IBUDOL RAPID 400 MG 20 SOBRES EFG       ,6,2020-03-01,2020
680380,CLARITROMICINA UNIDIA KERN 500X14 EFG   ,12,2020-03-01,2020
680536,(B) ATORVASTATINA KERN 20 MG 28 COMP REC,9,2020-03-01,2020
680846,BETAHISTINA  KERN 16 MG 30 COMP EFG     ,7,2020-03-01,2020
681990,"TRAMADOL PARACE KERN 37,5/325 20COMP EFG",12,2020-03-01,2020
708953,RUPATADINA KERN 10 MG 20 COMP EFG       ,11,2020-03-01,2020
716696,ALOPURINOL KERN 100X100 COMP EFG        ,11,2020-03-01,2020
762434,DIAZEPAN PRODES SOLUC ORAL 30 ML        ,7,2020-03-01,2020
692227,DICLOKERN 11.6 MG / GEL TUBO 60 GR      ,11,2020-03-01,2020
862649,AMLODIPINO KERN 10X30 COMP EFG          ,6,2020-03-01,2020
672791,MONTELUKAST KERN 10 MG 28 COMP EFG      ,13,2020-03-01,2020
901850,FLUOXETINA KERN 20 MG 60 CAPS EFG       ,9,2020-03-01,2020
851477,DIAZEPAN PRODES 25 MG 20 COMP           ,6,2020-03-01,2020
968792,CICLOFALINA 800 60 SOBRES               ,12,2020-03-01,2020
664209,HIDROCLOROTIA KERN PHAR 50X20C EFG      ,7,2020-03-01,2020
729246,ATORVASTATINA KERN 20 MG 28 COMP REC EFG,6,2020-03-01,2020
704217,VITAMINA D3 KERN 2000UI/ML SOL ORAL 30ML,10,2020-03-01,2020
658193,FENOFIBRATO KERN 160X30CAP EFG          ,6,2020-03-01,2020
658257,PARACETAMOL KERN 1GRX40 CO EFG          ,30,2020-04-01,2020
958413,DIAZEPAN PRODES  5 MG 30 COMP           ,23,2020-04-01,2020
658256,PARACETAMOL KERN 1GRX20 CO EFG          ,32,2020-04-01,2020
687626,PARACETAMOL KERN PHARMA 500 MG 20 C  EFG,11,2020-04-01,2020
673058,SULPIRIDA KERN PHARMA 50 MG 30 CAPS EFG ,9,2020-04-01,2020
958421,DIAZEPAN PRODES 10 MG 30 COMP           ,9,2020-04-01,2020
724972,METFORMINA KERN 1000 MG 50 C OMP EFG    ,7,2020-04-01,2020
857979,IBUPROFENO KERN 600X40 COM EFG          ,8,2020-04-01,2020
851402,DIAZEPAN PRODES  2.5 MG 40 COM          ,5,2020-04-01,2020
698137,HIDROCLOROTIAZINA KERN 25 MG 20 COMP    ,6,2020-04-01,2020
655905,PARACETAMOL KERN 650 MG 40 COMP EFG     ,7,2020-04-01,2020
981795,CORONUR 20 MG 80 COMP                   ,4,2020-04-01,2020
672658,PARACET KERN CODEINA 500/30X20COEFG     ,5,2020-04-01,2020
654073,EBASTINA KERN 20 MG 20 COMP             ,3,2020-04-01,2020
661558,PREDNISONA KERN  5X30 COMP EFG          ,3,2020-04-01,2020
815621,ACICLOVIR KERN  2 GR CREMA EFG          ,9,2020-04-01,2020
660572,FUROSEMIDA KERN 40X30 C EFG             ,14,2020-04-01,2020
724970,METFORMINA KERN 1000 MG 30 COMP EFG     ,8,2020-04-01,2020
688720,FOSFOMICINA KERN 3 GR 1 SOBRE EFG       ,4,2020-04-01,2020
862623,AMLODIPINO KERN  5X30 COMP EFG          ,8,2020-04-01,2020
656456,ACETILCIST KERN 600X20 COMP EFERV EFG   ,3,2020-04-01,2020
660265,LORAZEPAN KERN 1X50 COMP EFG            ,13,2020-04-01,2020
656412,IBUDOL 400 MG SUSPENSION 20 SOBRES 10 ML,10,2020-04-01,2020
677308,BROMAZEPAM KERN 1.5X30 CAP EFG          ,10,2020-04-01,2020
793604,LUMINAL 0.1 GR 50 COMP                  ,8,2020-04-01,2020
730769,BILASTINA KERN 20 MG 20 COMP EFG        ,10,2020-04-01,2020
652591,LAMOTRIGINA KERN 100X56 COMP DISP EFG   ,4,2020-04-01,2020
852079,TEPAZEPAN 30 CAPS                       ,8,2020-04-01,2020
688725,DIOSMINA KERN 500 MG 60 COMP            ,6,2020-04-01,2020
815639,ACICLOVIR KERN 15 GR CREMA EFG          ,8,2020-04-01,2020
704739,PREGABALINA KERN 50 MG 56 CAPS EFG      ,6,2020-04-01,2020
691478,ANTIN 3 MG 28 COMP KERN EFG             ,7,2020-04-01,2020
661560,PREDNISONA KERN 10X30 COMP              ,8,2020-04-01,2020
672067,PREDNISONA KERN 30X30 COM  EFG          ,5,2020-04-01,2020
815407,ACICLOVIR KERN 200X25 COMP EFG          ,10,2020-04-01,2020
663240,CAFINITRINA 20 COMP SUBLINGUA           ,10,2020-04-01,2020
729242,ATORVASTATINA KERN 10 MG 28 COMP REC EFG,10,2020-04-01,2020
724973,METFORMINA KERN 850 MG 50 COMP EFG      ,4,2020-04-01,2020
672765,IBUDOL ROLL-ON 50 MG/G GEL TOPICO APLICA,11,2020-04-01,2020
652590,LAMOTRIGINA KERN 50X56 COMP DISP EFG    ,6,2020-04-01,2020
702118,AZITROMICINA KERN 500X3 C EFG           ,8,2020-04-01,2020
694875,AMOXIC CLAV KERN 875/125 MG 30 COMP EFG ,8,2020-04-01,2020
653279,HALOPERIDOL PRODES GOTAS 30 ML          ,14,2020-04-01,2020
654072,EBASTINA KERN 10 MG 20 COMP             ,7,2020-04-01,2020
691454,ANTINELLE KERN 0.02/3 MG 28 COMP EFG    ,8,2020-04-01,2020
890897,IBUPROFENO KERN 100X200 ML EFG          ,11,2020-04-01,2020
680803,DICLOFENACO KERN PHARMA 1% GEL 60 G     ,9,2020-04-01,2020
700522,LANACORDIN PEDIATRICO 60 ML             ,5,2020-04-01,2020
663227,SOLINITRINA 30 GRAGEAS                  ,10,2020-04-01,2020
972489,DIGOXINA KERN 0.25 MG 50 COMP           ,6,2020-04-01,2020
946178,CICLOFALINA 800 MG 60 COMP              ,11,2020-04-01,2020
688722,FOSFOMICINA  KERN 3 GR 2 SOBRES EFG     ,10,2020-04-01,2020
687248,IBUPROFENO KERN 600 MG 20 SOBRES EFG    ,14,2020-04-01,2020
